id_bono,fecha_valuacion,fecha_vencimiento,periodo_cupon,calendario,convencion,vn,tv,tipo_cambio,tasa_cupon,t_rend,tasa_mercado,sobre_tasa,dia_fijo,tipo_tasa,sobre_tasa_cupon
M_BONOS_240905,16/02/2022,05/09/2024,182,MXN,actual/360,100,M,1,0.08,0.056496266,0,0,no,fija,0
MXBIGO000PZ9,16/02/2022,07/04/2022,0,MXN,actual/360,10,BI,1,0,0.0619,0,0,no,fija,0
IS_BPA_260219,22/04/2022,19/02/2026,182,MXN,actual/360,100,IS,1,0.0685,0,0.0779,0.001126912,no,variable,0
D1SP_MEX139_280417,16/02/2022,17/04/2028,365,MXN,actual/actual,1000,D1SP,23.0767,0.0175,0.02314078,0,0,si,fija,0
D1SP_MEX341_300117,16/02/2022,17/01/2030,365,MXN,actual/actual,1000,D1SP,23.0767,0.01125,0.025899,0,0,si,fija,0
LD_BONDESD_220224,22/04/2022,09/03/2023,28,MXN,actual/360,100,LD,1,0.0653,0,0.0655,0.00069,no,variable,0
LD_BONDESD_230105,16/02/2022,05/01/2023,28,MXN,actual/360,100,LD,1,0.0568,0,0.06,0.000665,no,variable,0
95_CFE_251125,10/06/2022,25/11/2025,182,MXN,actual/360,100,95,1,0.0735,0.0819,0,0,no,fija,0
95_CFE_211022,10/06/2022,21/10/2022,28,MXN,actual/360,100,95,1,0.0803,1,0.072715,0.008,no,variable,0.008
JI_EIB145_250130,16/02/2022,30/01/2025,365,MXN,actual/actual,10000,JI,1,0.0775,0.0796,0,0,si,fija,0
